"No.","Time","Source","Destination","Protocol","Source Port","Dest Port","Length","Info"
"5965","2020-07-17 13:14:28.803524880","192.168.56.105","192.168.56.104","TCP","3176","80","54","3176  >  80 [RST] Seq=1311618104 Win=0 Len=0"
"5966","2020-07-17 13:14:28.803583615","192.168.56.105","192.168.56.104","TCP","3179","80","54","3179  >  80 [SYN] Seq=0 Win=512 Len=0"
"5967","2020-07-17 13:14:28.803587812","192.168.56.104","192.168.56.105","TCP","80","3176","60","[TCP Dup ACK 5964#1] [TCP ACKed unseen segment] 80  >  3176 [ACK] Seq=1 Ack=1311618104 Win=29200 Len=0"
"5968","2020-07-17 13:14:28.803596287","192.168.56.105","192.168.56.104","TCP","3176","80","54","3176  >  80 [RST] Seq=1311618104 Win=0 Len=0"
"5969","2020-07-17 13:14:28.803647217","192.168.56.105","192.168.56.104","TCP","3180","80","54","3180  >  80 [SYN] Seq=0 Win=512 Len=0"
"5970","2020-07-17 13:14:28.803666356","192.168.56.104","192.168.56.105","TCP","80","3177","60","80  >  3177 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"5971","2020-07-17 13:14:28.803694268","192.168.56.105","192.168.56.104","TCP","3177","80","54","3177  >  80 [RST] Seq=1 Win=0 Len=0"
"5972","2020-07-17 13:14:28.803751189","192.168.56.105","192.168.56.104","TCP","3180","80","54","[TCP Port numbers reused] 3180  >  80 [SYN] Seq=0 Win=512 Len=0"
"5973","2020-07-17 13:14:28.803773700","192.168.56.104","192.168.56.105","TCP","80","3179","60","80  >  3179 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"5974","2020-07-17 13:14:28.803780071","192.168.56.105","192.168.56.104","TCP","3179","80","54","3179  >  80 [RST] Seq=1 Win=0 Len=0"
"5975","2020-07-17 13:14:28.803809207","192.168.56.105","192.168.56.104","TCP","3181","80","54","3181  >  80 [SYN] Seq=0 Win=512 Len=0"
"5976","2020-07-17 13:14:28.803827312","192.168.56.104","192.168.56.105","TCP","80","3180","60","80  >  3180 [SYN, ACK] Seq=0 Ack=3544809459 Win=29200 Len=0 MSS=1460"
"5977","2020-07-17 13:14:28.803833387","192.168.56.105","192.168.56.104","TCP","3180","80","54","3180  >  80 [RST] Seq=3544809459 Win=0 Len=0"
"5978","2020-07-17 13:14:28.803847678","192.168.56.105","192.168.56.104","TCP","3183","80","54","3183  >  80 [SYN] Seq=0 Win=512 Len=0"
"5979","2020-07-17 13:14:28.803863151","192.168.56.105","192.168.56.104","TCP","3184","80","54","3184  >  80 [SYN] Seq=0 Win=512 Len=0"
"5980","2020-07-17 13:14:28.803880213","192.168.56.104","192.168.56.105","TCP","80","3180","60","[TCP Dup ACK 5976#1] 80  >  3180 [ACK] Seq=1 Ack=3544809459 Win=29200 Len=0"
"5981","2020-07-17 13:14:28.803888887","192.168.56.105","192.168.56.104","TCP","3180","80","54","3180  >  80 [RST] Seq=3544809459 Win=0 Len=0"
"5982","2020-07-17 13:14:28.803921926","192.168.56.105","192.168.56.104","TCP","3185","80","54","3185  >  80 [SYN] Seq=0 Win=512 Len=0"
"5983","2020-07-17 13:14:28.803925053","192.168.56.105","192.168.56.104","TCP","3186","80","54","3186  >  80 [SYN] Seq=0 Win=512 Len=0"
"5984","2020-07-17 13:14:28.803943319","192.168.56.105","192.168.56.104","TCP","3187","80","54","3187  >  80 [SYN] Seq=0 Win=512 Len=0"
"5985","2020-07-17 13:14:28.803961455","192.168.56.104","192.168.56.105","TCP","80","3181","60","80  >  3181 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"5986","2020-07-17 13:14:28.803969902","192.168.56.105","192.168.56.104","TCP","3181","80","54","3181  >  80 [RST] Seq=1 Win=0 Len=0"
"5987","2020-07-17 13:14:28.803995762","192.168.56.105","192.168.56.104","TCP","3188","80","54","3188  >  80 [SYN] Seq=0 Win=512 Len=0"
"5988","2020-07-17 13:14:28.804007897","192.168.56.105","192.168.56.104","TCP","3189","80","54","3189  >  80 [SYN] Seq=0 Win=512 Len=0"
"5989","2020-07-17 13:14:28.804024357","192.168.56.104","192.168.56.105","TCP","80","3183","60","80  >  3183 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"5990","2020-07-17 13:14:28.804030175","192.168.56.105","192.168.56.104","TCP","3183","80","54","3183  >  80 [RST] Seq=1 Win=0 Len=0"
"5991","2020-07-17 13:14:28.804039889","192.168.56.105","192.168.56.104","TCP","3190","80","54","3190  >  80 [SYN] Seq=0 Win=512 Len=0"
"5992","2020-07-17 13:14:28.804046924","192.168.56.104","192.168.56.105","TCP","80","3184","60","80  >  3184 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460"
"5993","2020-07-17 13:14:28.804049732","192.168.56.105","192.168.56.104","TCP","3184","80","54","3184  >  80 [RST] Seq=1 Win=0 Len=0"
"5994","2020-07-17 13:14:28.804067253","192.168.56.105","192.168.56.104","TCP","3191","80","54","3191  >  80 [SYN] Seq=0 Win=512 Len=0"
"5995","2020-07-17 13:14:28.804077341","192.168.56.105","192.168.56.104","TCP","3192","80","54","3192  >  80 [SYN] Seq=0 Win=512 Len=0"
